title,url,category,rank,author,original_price,price,savings_percentage
The Psychology of Money,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_sccl_1/261-8707380-3453467?psc=1,Books,#1,Morgan Housel,399.00,210.00,47%
Atomic Habits: the life-changing million-copy #1 bestseller,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_sccl_2/261-8707380-3453467?psc=1,Self-Help for Success,#1,James Clear,799.00,437.00,45%
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_sccl_3/261-8707380-3453467?psc=1,"Fairy Tales, Folk Tales & Myths for Childre",#1,Sudha Murty,250.00,188.00,25%
BlackBook of English Vocabulary March 2023 by Nikhil Gupta,https://www.amazon.in/BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_books_sccl_4/261-8707380-3453467?psc=1,State Public Service Exams,#1,Nikhil Kr Gupta,399.00,272.00,32%
My First Library: Boxset of 10 Board Books for Kids,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_sccl_5/261-8707380-3453467?psc=1,Children's Early Learning,#1,Wonder House Books,749.00,399.00,47%
The Power of Your Subconscious Mind,https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_books_sccl_6/261-8707380-3453467?psc=1,Self-Help for Memory Improvement,#2,Joseph Murphy,275.00,115.00,58%
The Hidden Hindu: ScienceFiction meets Indian mythology in a nail biting thriller set in 2020,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_books_sccl_7/261-8707380-3453467?psc=1,"Myths, Legends & Sagas",#1,Akshat Gupta,250.00,170.00,32%
Rich Dad Poor Dad: 25th Anniversary Edit,https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_books_sccl_8/261-8707380-3453467?psc=1,None,None,Robert T. Kiyosaki,599.00,None,32%
Brain Activity Book for Kids - 200+ Activities for Age 3+,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_books_sccl_9/261-8707380-3453467?psc=1,Children's Interactive & Activity Books,#1,Maple Press,125.00,100.00,20%
"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_sccl_10/261-8707380-3453467?psc=1,Religion & Spirituality,#1,"Francesc Miralles,",550.00,None,28%
